Date	Discharge (m3/S)	SSC (mg/l)
4/12/19	6778	140.429
4/29/19	7915	322.545
5/25/19	17618	150.069
6/17/19	19080	298.958
7/1/19	39962	407.170
7/12/19	53741	1585.414
7/25/19	69111	711.938
8/5/19	50188	553.188
8/19/19	36832	679.325
9/4/19	24988	411.524
10/8/19	28258	548.436
11/6/19	14470	252.080
11/22/19	9515	175.567
12/24/19	6497	165.642
1/7/20	6597	30.541
1/22/20	4888	78.580
