FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1056,CHN41201,pi____,pi,11587.844968299999891,8183692.496290000155568
1057,CHN41202,vapysr,va,71380.075350200000685,83642975.853799998760223
1058,CHN41204,pa____,pa,39419.286951399997633,48008937.033299997448921
1059,CHN41207,pi____,pi,70337.364795000001322,184037024.022000014781952
1060,CHN41209,pi____,pi,27152.271230199999991,38146723.119699999690056
1061,CHN41215,scmx__,sc,124193.060968999998295,151145701.768000006675720
1062,CHN41219,smmxvr,sm,14097.759615599999961,7107411.229170000180602
1063,CHN41221,smmxvr,sm,27366.107113900001423,33959809.682999998331070
1064,CHN41224,ig____,ig,36947.340071699996770,33663782.951700001955032
1065,CHN41225,pa____,pa,9412.275625399999626,3649473.894619999919087
1066,CHN41228,smmxvr,sm,208368.168849999987287,225260825.564000010490417
1067,CHN41239,mt____,mt,430824.252914000011515,2011464291.609999895095825
1068,CHN41248,smmxvr,sm,29327.730171999999584,35726138.484300002455711
1069,CHN41254,smmxvr,sm,41230.115839899997809,62539282.627400003373623
1070,CHN41255,ssmxvr,ss,368072.013124999997672,666793995.468999981880188
1071,CHN41257,smmxvr,sm,25354.726175899999362,30152683.668299999088049
1072,CHN41265,smmxvr,sm,7914.197423550000167,2703506.114389999769628
1073,CHN41317,smmxvr,sm,11693.169684200000120,6461833.105030000209808
1074,CHN41318,smmxvr,sm,13233.771499399999811,5797709.898869999684393
1075,CHN41319,pa____,pa,28208.661782999999559,30337333.781800001859665
1076,CHN41324,pa____,pa,90920.245941800007131,338491483.496999979019165
1077,CHN41329,pi____,pi,24272.371706599999015,16761988.489000000059605
1078,CHN41331,pb____,pb,8684.008251949999249,4371884.714279999956489
1079,CHN41335,vapysr,va,22944.820988600000419,15324539.573000000789762
1080,CHN41337,smmxvr,sm,37570.432982300000731,38457629.073899999260902
1081,CHN41342,pa____,pa,53410.221185299997160,60890200.700999997556210
1082,CHN41351,pa____,pa,13315.245703000000503,12733428.647600000724196
1083,CHN41359,sush__,su,33159.660475600001519,26156387.910199999809265
1084,CHN41362,pa____,pa,15385.247070999999778,12868004.857100000604987
1085,CHN41368,ig____,ig,29087.473881400001119,26956461.022700000554323
1086,CHN41369,pi____,pi,12149.143925000000309,5212571.850940000265837
1087,CHN41371,vapysr,va,21926.703893499998230,21244397.522999998182058
1088,CHN41372,pb____,pb,10729.542904100000669,6836483.662940000183880
1089,CHN41385,smmxvr,sm,23870.393435199999658,16120256.962200000882149
1090,CHN41387,pa____,pa,18402.473998699999356,20115443.087999999523163
1091,CHN41388,pi____,pi,62333.173214199996437,113728950.612000003457069
