,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
13092,884.000 ,9.629 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.078,  0.908  ,23.62702, 0.00001 
13093,884.000 ,6.889 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,23.88447, 0.00000 
13094,884.000 ,5.802 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,23.98698, 0.00002 
13095,884.000 ,7.692 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,24.36534, 0.00001 
13096,884.000 ,8.956 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.078,  0.908  ,24.78278, 0.00001 
13097,884.000 ,3.332 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.078,  0.908  ,24.56387, 0.00002 
13098,884.000 ,7.905 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,24.34334, 0.00002 
13099,884.000 ,10.192 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.078,  0.908  ,24.04211, 0.00000 
13100,884.000 ,8.156 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,23.57544, 0.00000 
13101,884.000 ,9.494 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.078,  0.908  ,22.99023, 0.00000 
13102,884.000 ,5.547 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,22.34521, 0.00000 
13103,884.000 ,5.660 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,21.84437, 0.00000 
13104,884.000 ,5.873 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,21.52095, 0.00000 
13105,884.004 ,9.381 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.080,  0.908  ,21.65660, 0.00001 
13106,884.006 ,5.955 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.080,  0.908  ,21.28512, 0.00001 
13107,884.059 ,9.980 ,18.555 ,0.002,0.002,0.003,0.004 ,0.846,  1152.098,  0.908  ,20.57418, 0.00000 
13108,884.230 ,3.232 ,18.558 ,0.001,0.001,0.001,0.001 ,0.846,  1152.156,  0.908  ,20.13457, 0.00000 
13109,884.237 ,5.137 ,18.559 ,0.001,0.001,0.001,0.002 ,0.846,  1152.158,  0.908  ,20.07099, 0.00000 
13110,884.215 ,5.161 ,18.558 ,0.001,0.001,0.001,0.002 ,0.846,  1152.151,  0.908  ,19.77110, 0.00000 
13111,884.199 ,7.428 ,18.558 ,0.002,0.002,0.002,0.003 ,0.846,  1152.146,  0.908  ,18.99266, 0.00000 
13112,884.183 ,9.125 ,18.557 ,0.002,0.002,0.003,0.004 ,0.846,  1152.140,  0.908  ,19.20954, 0.00000 
13113,884.168 ,9.537 ,18.557 ,0.002,0.002,0.003,0.004 ,0.846,  1152.135,  0.908  ,19.66897, 0.00000 
13114,884.152 ,10.891 ,18.557 ,0.002,0.002,0.003,0.004 ,0.846,  1152.130,  0.908  ,19.94588, 0.00000 
13115,884.136 ,6.037 ,18.556 ,0.001,0.001,0.002,0.002 ,0.846,  1152.124,  0.908  ,20.22972, 0.00000 
13116,884.121 ,8.241 ,18.556 ,0.002,0.002,0.002,0.003 ,0.846,  1152.119,  0.908  ,20.16993, 0.00001 
13117,884.105 ,6.968 ,18.556 ,0.002,0.002,0.002,0.003 ,0.846,  1152.114,  0.908  ,19.90367, 0.00001 
13118,884.089 ,5.036 ,18.555 ,0.001,0.001,0.001,0.002 ,0.846,  1152.108,  0.908  ,19.41660, 0.00001 
13119,884.074 ,6.273 ,18.555 ,0.001,0.001,0.002,0.002 ,0.846,  1152.103,  0.908  ,18.55349, 0.00002 
13120,884.058 ,6.518 ,18.555 ,0.001,0.001,0.002,0.003 ,0.846,  1152.098,  0.908  ,17.73922, 0.00000 
13121,884.042 ,13.946 ,18.554 ,0.003,0.003,0.004,0.006 ,0.845,  1152.093,  0.908  ,17.35647, 0.00000 
13122,884.027 ,3.457 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.087,  0.908  ,17.31867, 0.00003 
13123,884.012 ,8.513 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.082,  0.908  ,17.05160, 0.00000 
13124,884.000 ,3.781 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.078,  0.908  ,17.05338, 0.00000 
13125,884.000 ,4.799 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,17.20799, 0.00000 
13126,884.000 ,11.372 ,18.554 ,0.003,0.003,0.003,0.005 ,0.845,  1152.078,  0.908  ,17.30311, 0.00000 
13127,884.001 ,8.174 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.079,  0.908  ,16.97692, 0.00000 
13128,884.001 ,3.364 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.079,  0.908  ,16.75283, 0.00000 
13129,884.001 ,7.294 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.079,  0.908  ,16.44533, 0.00000 
13130,884.001 ,8.315 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,15.94470, 0.00000 
13131,884.001 ,6.106 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,15.83456, 0.00000 
13132,884.001 ,6.196 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,16.18697, 0.00000 
13133,884.001 ,10.114 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.078,  0.908  ,16.33309, 0.00000 
13134,884.001 ,4.334 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,16.29705, 0.00000 
13135,884.001 ,3.568 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.078,  0.908  ,16.32971, 0.00000 
13136,884.001 ,8.047 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,16.83472, 0.00000 
13137,884.001 ,6.800 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,16.96198, 0.00000 
13138,884.000 ,8.265 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,16.93139, 0.00000 
