,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
0,884.000 ,0.473 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.63034, 0.00000 
1,884.000 ,0.151 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.23071, 0.00001 
2,884.000 ,0.268 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.35250, 0.00002 
3,884.000 ,0.296 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.83328, 0.00007 
4,884.000 ,0.362 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.47083, 0.00009 
5,884.000 ,0.139 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.55325, 0.00008 
6,884.000 ,0.224 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.50896, 0.00042 
7,884.000 ,0.424 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.39959, 0.00003 
8,884.000 ,0.173 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.30176, 0.00001 
9,884.000 ,0.110 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.47531, 0.00061 
10,884.000 ,0.191 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.02793, 0.00039 
11,884.000 ,0.391 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.76821, 0.00001 
12,884.000 ,0.164 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.96393, 0.00001 
13,884.000 ,0.154 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.14663, 0.00000 
14,884.000 ,0.271 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.46460, 0.00000 
15,884.000 ,0.181 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.53456, 0.00000 
16,884.000 ,0.293 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.89115, 0.00000 
17,884.000 ,0.106 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.36470, 0.00000 
18,884.000 ,0.170 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.84578, 0.00000 
19,884.000 ,0.533 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.43274, 0.00000 
20,884.000 ,0.151 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.89547, 0.00000 
21,884.000 ,0.122 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.90927, 0.00001 
22,884.000 ,0.181 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.08715, 0.00000 
23,884.000 ,0.229 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.02680, 0.00000 
24,884.000 ,0.266 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.57925, 0.00000 
25,884.000 ,0.250 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.37003, 0.00001 
26,884.000 ,0.252 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.88158, 0.00000 
27,884.000 ,0.186 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.71243, 0.00000 
28,884.000 ,0.346 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.88710, 0.00000 
29,884.000 ,0.470 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.81762, 0.00001 
30,884.000 ,0.210 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.75544, 0.00089 
31,884.000 ,0.282 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.37392, 0.00016 
32,884.001 ,0.156 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,16.41486, 0.00004 
33,884.001 ,0.771 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,16.26888, 0.00005 
34,884.001 ,0.175 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.11102, 0.00000 
35,884.001 ,0.151 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.09096, 0.00000 
36,884.000 ,0.293 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.06564, 0.00000 
37,884.000 ,0.502 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.05996, 0.00000 
38,884.007 ,0.235 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.081,  0.908  ,18.92446, 0.00004 
39,884.025 ,0.323 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.087,  0.908  ,18.71563, 0.00007 
40,884.037 ,0.483 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.091,  0.908  ,19.62543, 0.00001 
41,884.468 ,0.455 ,18.563 ,0.000,0.000,0.000,0.000 ,0.846,  1152.237,  0.908  ,20.96567, 0.00000 
42,884.499 ,0.113 ,18.564 ,0.000,0.000,0.000,0.000 ,0.846,  1152.247,  0.908  ,21.71895, 0.00000 
43,884.450 ,0.183 ,18.563 ,0.000,0.000,0.000,0.000 ,0.846,  1152.231,  0.908  ,22.58015, 0.00000 
44,884.417 ,0.175 ,18.562 ,0.000,0.000,0.000,0.000 ,0.846,  1152.219,  0.908  ,23.21805, 0.00033 
45,884.385 ,0.106 ,18.562 ,0.000,0.000,0.000,0.000 ,0.846,  1152.208,  0.908  ,21.31932, 0.00001 
46,884.507 ,0.196 ,18.564 ,0.000,0.000,0.000,0.000 ,0.846,  1152.250,  0.908  ,19.47283, 0.00000 
47,884.892 ,0.230 ,18.572 ,0.000,0.000,0.000,0.000 ,0.846,  1152.380,  0.908  ,19.73452, 0.00000 
48,884.874 ,0.106 ,18.572 ,0.000,0.000,0.000,0.000 ,0.846,  1152.374,  0.908  ,20.87538, 0.00000 
49,884.787 ,0.221 ,18.570 ,0.000,0.000,0.000,0.000 ,0.846,  1152.345,  0.908  ,22.05172, 0.00000 
50,884.716 ,0.222 ,18.569 ,0.000,0.000,0.000,0.000 ,0.846,  1152.321,  0.908  ,22.83096, 0.00001 
51,884.895 ,0.140 ,18.572 ,0.000,0.000,0.000,0.000 ,0.846,  1152.381,  0.908  ,23.93228, 0.00001 
52,884.905 ,0.222 ,18.573 ,0.000,0.000,0.000,0.000 ,0.846,  1152.385,  0.908  ,23.84854, 0.00000 
53,887.295 ,0.317 ,18.623 ,0.000,0.000,0.000,0.000 ,0.847,  1153.193,  0.909  ,22.90397, 0.00000 
54,890.327 ,0.253 ,18.686 ,0.000,0.000,0.000,0.000 ,0.848,  1154.216,  0.910  ,22.16120, 0.00002 
55,894.810 ,0.179 ,18.780 ,0.000,0.000,0.000,0.000 ,0.849,  1155.725,  0.912  ,21.89785, 0.00002 
56,898.225 ,0.130 ,18.852 ,0.000,0.000,0.000,0.000 ,0.850,  1156.870,  0.913  ,22.43421, 0.00001 
57,897.563 ,0.249 ,18.838 ,0.000,0.000,0.000,0.000 ,0.850,  1156.648,  0.913  ,23.50625, 0.00001 
58,896.440 ,0.142 ,18.815 ,0.000,0.000,0.000,0.000 ,0.850,  1156.272,  0.913  ,24.76856, 0.00136 
59,895.464 ,0.327 ,18.794 ,0.000,0.000,0.000,0.000 ,0.849,  1155.944,  0.912  ,24.92675, 0.00131 
60,894.466 ,0.513 ,18.773 ,0.000,0.000,0.000,0.000 ,0.849,  1155.609,  0.912  ,25.47320, 0.00191 
61,893.465 ,0.334 ,18.752 ,0.000,0.000,0.000,0.000 ,0.849,  1155.273,  0.911  ,24.04046, 0.00004 
62,892.816 ,0.124 ,18.739 ,0.000,0.000,0.000,0.000 ,0.848,  1155.055,  0.911  ,23.27429, 0.00001 
63,895.340 ,0.304 ,18.792 ,0.000,0.000,0.000,0.000 ,0.849,  1155.902,  0.912  ,22.64303, 0.00065 
64,895.626 ,0.333 ,18.798 ,0.000,0.000,0.000,0.000 ,0.849,  1155.998,  0.912  ,19.52532, 0.00003 
65,894.336 ,0.177 ,18.771 ,0.000,0.000,0.000,0.000 ,0.849,  1155.565,  0.912  ,18.09939, 0.00000 
66,892.991 ,0.333 ,18.742 ,0.000,0.000,0.000,0.000 ,0.848,  1155.113,  0.911  ,18.54555, 0.00000 
67,891.684 ,0.225 ,18.715 ,0.000,0.000,0.000,0.000 ,0.848,  1154.673,  0.911  ,19.33533, 0.00000 
68,890.393 ,0.153 ,18.688 ,0.000,0.000,0.000,0.000 ,0.848,  1154.239,  0.910  ,20.17862, 0.00000 
69,889.171 ,0.122 ,18.662 ,0.000,0.000,0.000,0.000 ,0.847,  1153.827,  0.910  ,20.88817, 0.00000 
70,891.365 ,0.287 ,18.708 ,0.000,0.000,0.000,0.000 ,0.848,  1154.566,  0.911  ,21.25805, 0.00001 
71,892.489 ,0.110 ,18.732 ,0.000,0.000,0.000,0.000 ,0.848,  1154.945,  0.911  ,22.22083, 0.00000 
72,894.207 ,0.373 ,18.768 ,0.000,0.000,0.000,0.000 ,0.849,  1155.522,  0.912  ,24.31220, 0.00010 
73,893.628 ,0.306 ,18.756 ,0.000,0.000,0.000,0.000 ,0.849,  1155.328,  0.911  ,25.61787, 0.00000 
74,892.651 ,0.221 ,18.735 ,0.000,0.000,0.000,0.000 ,0.848,  1154.999,  0.911  ,25.59224, 0.00001 
75,891.771 ,0.148 ,18.717 ,0.000,0.000,0.000,0.000 ,0.848,  1154.703,  0.911  ,23.08024, 0.00000 
76,890.894 ,0.099 ,18.698 ,0.000,0.000,0.000,0.000 ,0.848,  1154.407,  0.910  ,22.28565, 0.00000 
77,890.017 ,0.210 ,18.680 ,0.000,0.000,0.000,0.000 ,0.847,  1154.112,  0.910  ,22.70220, 0.00000 
78,889.142 ,0.207 ,18.662 ,0.000,0.000,0.000,0.000 ,0.847,  1153.817,  0.910  ,22.57252, 0.00000 
79,888.293 ,0.210 ,18.644 ,0.000,0.000,0.000,0.000 ,0.847,  1153.530,  0.909  ,20.82219, 0.00000 
80,887.691 ,0.306 ,18.631 ,0.000,0.000,0.000,0.000 ,0.847,  1153.327,  0.909  ,19.40364, 0.00000 
81,887.180 ,0.391 ,18.620 ,0.000,0.000,0.000,0.000 ,0.847,  1153.154,  0.909  ,20.33045, 0.00000 
82,886.666 ,0.131 ,18.610 ,0.000,0.000,0.000,0.000 ,0.846,  1152.981,  0.909  ,22.13440, 0.00007 
83,886.191 ,0.227 ,18.600 ,0.000,0.000,0.000,0.000 ,0.846,  1152.820,  0.908  ,22.30655, 0.00007 
84,886.435 ,0.465 ,18.605 ,0.000,0.000,0.000,0.000 ,0.846,  1152.903,  0.909  ,22.47570, 0.00002 
85,888.504 ,0.256 ,18.648 ,0.000,0.000,0.000,0.000 ,0.847,  1153.601,  0.909  ,24.42923, 0.00201 
86,889.025 ,0.391 ,18.659 ,0.000,0.000,0.000,0.000 ,0.847,  1153.777,  0.910  ,26.13184, 0.00271 
87,888.465 ,0.180 ,18.647 ,0.000,0.000,0.000,0.000 ,0.847,  1153.588,  0.909  ,25.48832, 0.00004 
88,887.954 ,0.155 ,18.637 ,0.000,0.000,0.000,0.000 ,0.847,  1153.416,  0.909  ,24.65010, 0.00000 
89,887.654 ,0.179 ,18.630 ,0.000,0.000,0.000,0.000 ,0.847,  1153.315,  0.909  ,25.66021, 0.00000 
90,887.354 ,0.193 ,18.624 ,0.000,0.000,0.000,0.000 ,0.847,  1153.213,  0.909  ,25.68881, 0.00000 
91,887.052 ,0.159 ,18.618 ,0.000,0.000,0.000,0.000 ,0.846,  1153.111,  0.909  ,28.28358, 0.00000 
92,886.749 ,0.224 ,18.611 ,0.000,0.000,0.000,0.000 ,0.846,  1153.009,  0.909  ,28.20081, 0.00000 
93,886.449 ,0.249 ,18.605 ,0.000,0.000,0.000,0.000 ,0.846,  1152.907,  0.909  ,28.63420, 0.00005 
94,886.150 ,0.239 ,18.599 ,0.000,0.000,0.000,0.000 ,0.846,  1152.806,  0.908  ,28.39062, 0.00110 
95,885.849 ,0.220 ,18.592 ,0.000,0.000,0.000,0.000 ,0.846,  1152.704,  0.908  ,28.74261, 0.00148 
96,885.545 ,0.219 ,18.586 ,0.000,0.000,0.000,0.000 ,0.846,  1152.601,  0.908  ,29.43012, 0.00023 
97,885.557 ,0.076 ,18.586 ,0.000,0.000,0.000,0.000 ,0.846,  1152.605,  0.908  ,30.18076, 0.00006 
98,887.729 ,0.324 ,18.632 ,0.000,0.000,0.000,0.000 ,0.847,  1153.340,  0.909  ,30.67860, 0.00001 
99,887.588 ,0.126 ,18.629 ,0.000,0.000,0.000,0.000 ,0.847,  1153.292,  0.909  ,30.55976, 0.00000 
100,887.004 ,0.166 ,18.617 ,0.000,0.000,0.000,0.000 ,0.846,  1153.095,  0.909  ,29.86653, 0.00000 
101,886.736 ,0.265 ,18.611 ,0.000,0.000,0.000,0.000 ,0.846,  1153.004,  0.909  ,30.39354, 0.00000 
102,886.707 ,0.431 ,18.610 ,0.000,0.000,0.000,0.000 ,0.846,  1152.994,  0.909  ,30.93814, 0.00000 
103,908.427 ,0.301 ,19.066 ,0.000,0.000,0.000,0.000 ,0.853,  1160.272,  0.917  ,30.91737, 0.00000 
104,922.495 ,0.321 ,19.362 ,0.000,0.000,0.000,0.000 ,0.858,  1164.917,  0.923  ,29.73562, 0.00000 
105,932.892 ,0.185 ,19.580 ,0.000,0.000,0.000,0.000 ,0.861,  1168.316,  0.927  ,29.85500, 0.00000 
106,936.725 ,0.300 ,19.660 ,0.000,0.000,0.000,0.000 ,0.862,  1169.563,  0.929  ,30.88476, 0.00012 
107,941.265 ,0.230 ,19.755 ,0.000,0.000,0.000,0.000 ,0.864,  1171.034,  0.931  ,31.57316, 0.00266 
108,952.486 ,0.167 ,19.991 ,0.000,0.000,0.000,0.000 ,0.867,  1174.648,  0.935  ,31.80017, 0.00119 
109,973.811 ,0.793 ,20.439 ,0.000,0.000,0.000,0.000 ,0.874,  1181.429,  0.943  ,31.86650, 0.00079 
110,1000.450 ,0.203 ,20.998 ,0.000,0.000,0.000,0.000 ,0.882,  1189.749,  0.954  ,30.12619, 0.00004 
111,1013.361 ,0.443 ,21.269 ,0.000,0.000,0.000,0.000 ,0.886,  1193.721,  0.958  ,29.61963, 0.00002 
112,1007.748 ,0.384 ,21.151 ,0.000,0.000,0.000,0.000 ,0.884,  1191.999,  0.956  ,30.25395, 0.00001 
113,1004.228 ,0.265 ,21.077 ,0.000,0.000,0.000,0.000 ,0.883,  1190.915,  0.955  ,31.49645, 0.00061 
114,1007.796 ,0.264 ,21.152 ,0.000,0.000,0.000,0.000 ,0.884,  1192.014,  0.956  ,31.77951, 0.00013 
115,1007.117 ,0.265 ,21.138 ,0.000,0.000,0.000,0.000 ,0.884,  1191.805,  0.956  ,29.44074, 0.00000 
116,995.287 ,0.570 ,20.889 ,0.000,0.000,0.000,0.000 ,0.880,  1188.149,  0.952  ,27.66158, 0.00000 
117,982.311 ,0.322 ,20.617 ,0.000,0.000,0.000,0.000 ,0.876,  1184.102,  0.947  ,27.83902, 0.00000 
118,977.134 ,0.413 ,20.508 ,0.000,0.000,0.000,0.000 ,0.875,  1182.476,  0.945  ,29.48760, 0.00000 
119,983.039 ,0.237 ,20.632 ,0.000,0.000,0.000,0.000 ,0.877,  1184.330,  0.947  ,31.01774, 0.00000 
120,991.874 ,0.240 ,20.818 ,0.000,0.000,0.000,0.000 ,0.879,  1187.089,  0.950  ,31.23203, 0.00003 
121,997.444 ,0.244 ,20.935 ,0.000,0.000,0.000,0.000 ,0.881,  1188.818,  0.952  ,32.64293, 0.00003 
122,985.348 ,0.151 ,20.681 ,0.000,0.000,0.000,0.000 ,0.877,  1185.053,  0.948  ,32.29196, 0.00000 
123,971.325 ,0.252 ,20.386 ,0.000,0.000,0.000,0.000 ,0.873,  1180.645,  0.942  ,32.89690, 0.00000 
124,958.507 ,0.244 ,20.117 ,0.000,0.000,0.000,0.000 ,0.869,  1176.574,  0.937  ,33.80789, 0.00044 
125,954.254 ,0.323 ,20.028 ,0.000,0.000,0.000,0.000 ,0.868,  1175.214,  0.936  ,34.10655, 0.00042 
126,955.184 ,0.363 ,20.048 ,0.000,0.000,0.000,0.000 ,0.868,  1175.512,  0.936  ,33.61584, 0.00000 
127,947.186 ,0.283 ,19.880 ,0.000,0.000,0.000,0.000 ,0.866,  1172.945,  0.933  ,32.98849, 0.00000 
128,938.835 ,0.208 ,19.704 ,0.000,0.000,0.000,0.000 ,0.863,  1170.247,  0.930  ,32.91948, 0.00001 
129,931.121 ,0.194 ,19.543 ,0.000,0.000,0.000,0.000 ,0.861,  1167.739,  0.927  ,32.24175, 0.00007 
130,923.928 ,0.341 ,19.392 ,0.000,0.000,0.000,0.000 ,0.858,  1165.387,  0.924  ,30.93786, 0.00014 
131,918.798 ,0.247 ,19.284 ,0.000,0.000,0.000,0.000 ,0.857,  1163.702,  0.922  ,30.81382, 0.00006 
132,914.890 ,0.362 ,19.202 ,0.000,0.000,0.000,0.000 ,0.855,  1162.413,  0.920  ,31.70796, 0.00000 
133,932.419 ,0.184 ,19.570 ,0.000,0.000,0.000,0.000 ,0.861,  1168.163,  0.927  ,33.19411, 0.00000 
134,939.715 ,0.170 ,19.723 ,0.000,0.000,0.000,0.000 ,0.863,  1170.532,  0.930  ,34.76973, 0.00006 
135,952.707 ,0.233 ,19.996 ,0.000,0.000,0.000,0.000 ,0.867,  1174.718,  0.935  ,35.72349, 0.00015 
136,977.332 ,0.335 ,20.512 ,0.000,0.000,0.000,0.000 ,0.875,  1182.539,  0.945  ,35.99043, 0.00010 
137,1006.342 ,0.165 ,21.121 ,0.000,0.000,0.000,0.000 ,0.884,  1191.566,  0.956  ,36.33729, 0.00088 
138,1514.793 ,0.693 ,31.793 ,0.000,0.000,0.000,0.000 ,1.015,  1325.245,  1.126  ,36.96669, 0.00140 
139,1554.195 ,1.389 ,32.620 ,0.000,0.000,0.000,0.000 ,1.024,  1334.123,  1.137  ,36.92955, 0.00121 
140,1493.847 ,0.949 ,31.353 ,0.000,0.000,0.000,0.000 ,1.011,  1320.456,  1.119  ,36.66842, 0.00115 
141,1450.633 ,0.718 ,30.446 ,0.000,0.000,0.000,0.000 ,1.001,  1310.416,  1.106  ,36.31394, 0.00167 
142,1408.546 ,0.863 ,29.563 ,0.000,0.000,0.000,0.000 ,0.991,  1300.423,  1.093  ,36.29076, 0.00199 
143,2245.110 ,5.877 ,47.121 ,0.001,0.001,0.001,0.001 ,1.161,  1468.000,  1.318  ,36.57996, 0.00391 
144,3647.774 ,36.090 ,76.560 ,0.002,0.002,0.002,0.003 ,1.369,  1665.450,  1.600  ,36.47348, 0.00752 
145,6243.422 ,153.899 ,131.038 ,0.005,0.005,0.006,0.009 ,1.643,  1915.201,  1.984  ,35.25865, 0.00853 
146,10825.969 ,559.594 ,227.218 ,0.010,0.010,0.013,0.018 ,1.982,  2209.865,  2.472  ,34.38280, 0.01134 
147,13004.073 ,963.144 ,272.932 ,0.015,0.015,0.019,0.026 ,2.109,  2317.741,  2.660  ,33.36396, 0.01585 
148,14350.592 ,5809.198 ,301.193 ,0.081,0.081,0.101,0.142 ,2.181,  2377.883,  2.767  ,32.85287, 0.00805 
149,15755.413 ,2547.704 ,330.678 ,0.032,0.032,0.040,0.057 ,2.251,  2436.330,  2.872  ,33.08003, 0.00274 
150,17481.455 ,4002.868 ,366.904 ,0.046,0.046,0.057,0.080 ,2.332,  2503.079,  2.994  ,34.15708, 0.00179 
151,18119.824 ,3832.529 ,380.303 ,0.042,0.042,0.053,0.074 ,2.361,  2526.530,  3.038  ,35.29417, 0.00330 
152,18704.051 ,6801.489 ,392.564 ,0.073,0.073,0.091,0.127 ,2.387,  2547.461,  3.077  ,35.14542, 0.00191 
153,19910.412 ,10333.429 ,417.884 ,0.104,0.104,0.130,0.182 ,2.438,  2589.198,  3.154  ,34.15594, 0.00311 
154,20161.867 ,4411.171 ,423.161 ,0.044,0.044,0.055,0.077 ,2.448,  2597.660,  3.170  ,32.46052, 0.00586 
155,20611.639 ,8956.158 ,432.601 ,0.087,0.087,0.109,0.152 ,2.467,  2612.604,  3.198  ,31.29286, 0.00666 
156,22675.479 ,9358.321 ,475.918 ,0.083,0.083,0.103,0.144 ,2.548,  2678.237,  3.323  ,31.08387, 0.00855 
157,23499.148 ,12081.193 ,493.205 ,0.103,0.103,0.129,0.180 ,2.579,  2703.198,  3.371  ,31.02048, 0.01089 
158,22492.412 ,8299.042 ,472.075 ,0.074,0.074,0.092,0.129 ,2.541,  2672.598,  3.312  ,31.09442, 0.00432 
159,21047.150 ,6515.671 ,441.742 ,0.062,0.062,0.077,0.108 ,2.484,  2626.846,  3.225  ,31.40448, 0.00136 
160,19422.883 ,14560.188 ,407.652 ,0.150,0.150,0.187,0.262 ,2.417,  2572.562,  3.123  ,31.74140, 0.00086 
161,17491.951 ,3255.580 ,367.125 ,0.037,0.037,0.047,0.065 ,2.333,  2503.469,  2.995  ,32.09250, 0.00089 
162,15595.991 ,6725.781 ,327.332 ,0.086,0.086,0.108,0.151 ,2.244,  2429.896,  2.861  ,32.34087, 0.00153 
163,14017.694 ,2369.739 ,294.206 ,0.034,0.034,0.042,0.059 ,2.164,  2363.417,  2.741  ,33.03000, 0.00347 
164,12559.085 ,1692.513 ,263.593 ,0.027,0.027,0.034,0.047 ,2.084,  2296.854,  2.623  ,32.69634, 0.00136 
165,11643.391 ,1370.167 ,244.374 ,0.024,0.024,0.029,0.041 ,2.031,  2252.086,  2.545  ,32.83022, 0.00029 
166,10427.376 ,912.331 ,218.852 ,0.017,0.017,0.022,0.031 ,1.957,  2188.416,  2.435  ,32.82652, 0.00111 
167,9169.548 ,976.883 ,192.452 ,0.021,0.021,0.027,0.037 ,1.873,  2116.483,  2.313  ,33.17721, 0.00097 
168,7903.974 ,507.050 ,165.890 ,0.013,0.013,0.016,0.022 ,1.781,  2036.311,  2.180  ,33.30673, 0.00091 
169,6701.180 ,286.877 ,140.646 ,0.009,0.009,0.011,0.015 ,1.683,  1950.759,  2.041  ,34.67072, 0.00062 
170,5563.998 ,111.661 ,116.778 ,0.004,0.004,0.005,0.007 ,1.580,  1858.681,  1.894  ,35.07168, 0.00026 
171,4547.679 ,110.947 ,95.448 ,0.005,0.005,0.006,0.009 ,1.476,  1763.720,  1.747  ,35.50886, 0.00022 
172,3688.378 ,41.225 ,77.412 ,0.002,0.002,0.003,0.004 ,1.374,  1670.250,  1.607  ,36.00429, 0.00038 
173,3080.019 ,10.346 ,64.644 ,0.001,0.001,0.001,0.001 ,1.292,  1593.779,  1.495  ,35.74974, 0.00057 
174,2648.459 ,11.095 ,55.586 ,0.001,0.001,0.001,0.001 ,1.228,  1532.437,  1.408  ,34.49609, 0.00039 
175,3954.186 ,53.028 ,82.991 ,0.003,0.003,0.003,0.005 ,1.407,  1700.745,  1.652  ,34.18612, 0.00242 
176,10224.596 ,700.279 ,214.596 ,0.014,0.014,0.017,0.024 ,1.944,  2177.270,  2.416  ,33.03039, 0.00971 
177,17383.766 ,5874.296 ,364.854 ,0.068,0.068,0.084,0.118 ,2.328,  2499.434,  2.988  ,31.12438, 0.02203 
178,25637.539 ,25523.375 ,538.086 ,0.199,0.199,0.249,0.348 ,2.657,  2765.109,  3.490  ,30.22814, 0.02147 
179,34693.707 ,64270.668 ,728.159 ,0.371,0.371,0.463,0.648 ,2.944,  2991.366,  3.939  ,30.06952, 0.02354 
180,43059.781 ,101577.500 ,903.748 ,0.472,0.472,0.590,0.826 ,3.169,  3164.193,  4.294  ,29.80907, 0.02406 
181,49429.953 ,221587.109 ,1037.446 ,0.897,0.897,1.121,1.569 ,3.321,  3279.758,  4.538  ,29.52611, 0.02036 
182,54561.352 ,238693.672 ,1145.145 ,0.875,0.875,1.094,1.531 ,3.434,  3365.073,  4.721  ,28.52284, 0.01502 
183,59199.492 ,227735.922 ,1242.491 ,0.769,0.769,0.962,1.346 ,3.531,  3437.218,  4.878  ,28.98426, 0.01263 
184,61466.469 ,366242.094 ,1290.071 ,1.192,1.192,1.490,2.085 ,3.576,  3470.966,  4.952  ,29.33713, 0.00956 
185,64416.512 ,449454.938 ,1351.987 ,1.395,1.395,1.744,2.442 ,3.634,  3513.530,  5.045  ,29.93379, 0.00796 
186,68694.906 ,675082.750 ,1441.783 ,1.965,1.965,2.457,3.440 ,3.714,  3572.767,  5.177  ,30.59783, 0.01248 
187,72769.711 ,334231.688 ,1527.306 ,0.919,0.919,1.148,1.608 ,3.788,  3626.699,  5.297  ,30.64802, 0.01597 
188,75883.508 ,576081.188 ,1592.659 ,1.518,1.518,1.898,2.657 ,3.842,  3666.424,  5.387  ,30.73704, 0.01674 
189,76863.625 ,461996.188 ,1613.230 ,1.202,1.202,1.503,2.104 ,3.859,  3678.678,  5.415  ,30.83004, 0.01527 
190,75806.922 ,1172479.625 ,1591.051 ,3.093,3.093,3.867,5.413 ,3.841,  3665.461,  5.385  ,30.96139, 0.01057 
191,72700.844 ,425674.781 ,1525.860 ,1.171,1.171,1.464,2.049 ,3.786,  3625.806,  5.295  ,31.07960, 0.00803 
192,69281.914 ,463618.062 ,1454.103 ,1.338,1.338,1.673,2.342 ,3.725,  3580.680,  5.194  ,31.27230, 0.00631 
193,65269.965 ,417994.594 ,1369.900 ,1.281,1.281,1.601,2.241 ,3.650,  3525.574,  5.072  ,31.90767, 0.00771 
194,61139.902 ,251389.516 ,1283.217 ,0.822,0.822,1.028,1.439 ,3.570,  3466.161,  4.941  ,32.31472, 0.00770 
195,61571.234 ,232178.922 ,1292.270 ,0.754,0.754,0.943,1.320 ,3.578,  3472.503,  4.955  ,32.27601, 0.00872 
196,65076.363 ,355932.844 ,1365.836 ,1.094,1.094,1.367,1.914 ,3.646,  3522.852,  5.066  ,31.83479, 0.02095 
197,64636.105 ,501183.531 ,1356.596 ,1.551,1.551,1.938,2.714 ,3.638,  3516.640,  5.052  ,30.57295, 0.02476 
198,62324.246 ,247107.375 ,1308.074 ,0.793,0.793,0.991,1.388 ,3.593,  3483.495,  4.979  ,29.99375, 0.01158 
199,59372.141 ,269799.281 ,1246.115 ,0.909,0.909,1.136,1.590 ,3.535,  3439.821,  4.883  ,30.19066, 0.00743 
200,56698.695 ,396821.875 ,1190.004 ,1.400,1.400,1.750,2.450 ,3.480,  3398.861,  4.794  ,30.86387, 0.00504 
201,54432.273 ,222659.797 ,1142.436 ,0.818,0.818,1.023,1.432 ,3.432,  3363.001,  4.717  ,31.39863, 0.00683 
202,52162.863 ,498480.469 ,1094.805 ,1.911,1.911,2.389,3.345 ,3.382,  3325.970,  4.637  ,31.38812, 0.00933 
203,49392.547 ,98342.062 ,1036.661 ,0.398,0.398,0.498,0.697 ,3.320,  3279.113,  4.537  ,30.91276, 0.00985 
204,47039.812 ,231025.500 ,987.281 ,0.982,0.982,1.228,1.719 ,3.266,  3237.766,  4.449  ,30.98306, 0.00802 
