FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1184,HIMAL484,scmx__,sc,125515.040410000001430,203640161.727999985218048
1185,HIMAL485,scsh__,sc,68643.068006400004379,153654117.631000012159348
1186,HIMAL486,scsh__,sc,170496.714910999988206,559378303.294000029563904
1187,HIMAL487,smmx__,sm,19087.073724900001253,13757921.246600000187755
1188,HIMAL488,scpu__,sc,63745.832938799998374,106313627.464000001549721
1189,HIMAL489,ssmxvr,ss,162231.773726000013994,231674406.354999989271164
1190,HIMAL490,mt____,mt,97307.429569999992964,140866100.745000004768372
1191,HIMAL491,mtam__,mt,14418.691478799999459,9984428.781920000910759
1192,HIMAL492,scpu__,sc,343195.153275999997277,963011119.621000051498413
1193,HIMAL493,mt____,mt,30542.570619800000713,31003217.786499999463558
1194,HIMAL494,mtam__,mt,52548.057469699997455,138066216.569000005722046
1195,HIMAL495,ssmx__,ss,317975.139270999992732,196114444.286000013351440
1196,HIMAL496,smmx__,sm,65500.769004599998880,34710783.417800001800060
1197,HIMAL497,smmx__,sm,38391.418518400001631,24814199.296100001782179
1198,HIMAL498,scmx__,sc,23303.884128900001087,8453696.436130000278354
1199,HIMAL499,ssshmt,ss,60763.995260399999097,103482947.599000006914139
1200,HIMAL500,ssshmt,ss,103579.042923000000883,267756131.944999992847443
1201,HIMAL501,pa____,pa,13377.047247599999537,9622283.451899999752641
1202,HIMAL502,pa____,pa,199991.925887999997940,362500036.045000016689301
1203,HIMAL503,sssh__,ss,11545.650823399999354,5937000.906659999862313
1204,HIMAL504,smmx__,sm,30808.154427699999360,12002829.660499999299645
1205,HIMAL505,scpu__,sc,61842.050992600001337,24195039.199599999934435
1206,HIMAL506,smmxbs,sm,19962.859716999999364,10698187.158500000834465
1207,HIMAL507,sssh__,ss,94933.427723500004504,79588143.268099993467331
1208,HIMAL508,scpu__,sc,14104.122955599999841,4568843.749979999847710
1209,HIMAL509,scpu__,sc,143702.344030000007479,67089912.344200000166893
1210,HIMAL510,scmx__,sc,41024.626300000003539,18742327.127000000327826
1211,HIMAL511,smsh__,sm,112103.848427000004449,54706484.507299996912479
1212,HIMAL512,smsh__,sm,326609.370425999979489,246627924.786000013351440
1213,HIMAL513,ssmx__,ss,22874.843041000000085,14617588.861500000581145
1214,HIMAL514,ssmx__,ss,45981.477245200003381,52696387.955799996852875
1215,HIMAL515,ssmx__,ss,512175.126512999995612,1076782356.849999904632568
1216,HIMAL516,smsh__,sm,58242.434810699996888,90414361.154300004243851
1217,HIMAL517,ssmx__,ss,124117.599035999999614,142692759.620000004768372
1218,HIMAL518,ssmx__,ss,151508.618805000005523,168902605.928999990224838
1219,HIMAL519,ssmx__,ss,10963.066331199999695,5013684.374110000208020
1220,HIMAL520,scmx__,sc,110180.785013000000617,257915481.152000010013580
1221,HIMAL521,scmx__,sc,57015.181542300000729,50146134.401699997484684
1222,HIMAL522,ssmxmt,ss,36719.120162300001539,12931999.212600000202656
1223,HIMAL523,ssmxmt,ss,88623.702469600000768,191575165.342999994754791
1224,HIMAL524,scmx__,sc,24918.983362300001318,14075374.907299999147654
1225,HIMAL525,smmxmt,sm,40439.571714099998644,23960833.162900000810623
1226,HIMAL526,scmx__,sc,99945.002823799994076,168926155.166999995708466
1227,HIMAL527,scsh__,sc,70969.796541100004106,54339394.316399998962879
1228,HIMAL528,ssmx__,ss,28646.288412300000346,18606435.401000000536442
1229,HIMAL529,ssmxmt,ss,751314.845478000002913,1969603304.609999895095825
1230,HIMAL530,ssmx__,ss,203432.188247000012780,146730749.111000001430511
1231,HIMAL531,smsh__,sm,190981.971629000006942,296262336.800000011920929
1232,HIMAL532,ssshmt,ss,10857.051971900000353,6624293.466099999845028
1233,HIMAL533,scmx__,sc,94284.270817800002987,171624804.111000001430511
1234,HIMAL534,ssshmt,ss,5640.207209049999619,2139847.267810000106692
1235,HIMAL535,smmx__,sm,12824.161766400000488,7615830.157870000228286
1236,HIMAL536,suad__,su,98365.176847399998223,109399433.827999994158745
1237,HIMAL537,ssmx__,ss,196866.573295000009239,295651440.810000002384186
1238,HIMAL538,smmx__,sm,306177.656116000027396,206623016.777000010013580
1239,HIMAL539,smmx__,sm,102698.540894999998272,43559334.592900000512600
1240,HIMAL544,ssmx__,ss,544336.083796999999322,796585614.491000056266785
1241,HIMAL549,smsh__,sm,151339.053599000006216,209189113.870000004768372
1242,HIMAL550,smsh__,sm,32478.246628699998837,22242915.578099999576807
1243,HIMAL551,ssmx__,ss,236065.097272999992128,186403630.071999996900558
1244,HIMAL553,ssmx__,ss,305700.035542999976315,375494585.082000017166138
1245,HIMAL554,ssmxmt,ss,213284.998614000011003,259980917.453999996185303
1246,HIMAL555,scmx__,sc,44003.644622300002084,74110042.471699997782707
1247,HIMAL556,ssmx__,ss,12807.882913999999801,5539666.685890000313520
1248,HIMAL557,scmx__,sc,20197.794056899998395,17012286.623900000005960
1249,HIMAL558,smmx__,sm,59212.845164099999238,77341536.596799999475479
1250,HIMAL559,smmxmt,sm,84308.328959000005852,74634194.582000002264977
1251,HIMAL560,scpu__,sc,19864.649656699999468,9236017.547970000654459
1252,HIMAL561,smmx__,sm,12263.494586799999524,7939228.220669999718666
1253,HIMAL562,scsh__,sc,298670.528036999981850,808347210.932999968528748
1254,HIMAL563,mt____,mt,61622.328964899999846,106426100.170000001788139
1255,HIMAL564,scmx__,sc,197397.626473999989685,152488388.972000002861023
1256,HIMAL565,ssmx__,ss,84894.765165200005868,61034116.852600000798702
1257,HIMAL566,smsh__,sm,178580.952954000007594,140518012.481999993324280
1258,HIMAL567,scmxmt,sc,378479.358024000015575,1086391462.549999952316284
1259,HIMAL568,smmx__,sm,7489.294260599999689,3921744.747620000038296
1260,HIMAL569,smmx__,sm,5583.118821289999687,2045069.120039999950677
1261,HIMAL570,smmx__,sm,6971.067431270000270,2666886.795419999863952
1262,HIMAL571,smmx__,sm,6524.887860969999565,2112187.608239999972284
1263,HIMAL572,smmx__,sm,7180.861753209999733,2755426.341510000173002
1264,HIMAL573,vb____,vb,46416.303065200001583,28090148.566899999976158
1265,HIMAL574,vb____,vb,10061.720748399999138,3723605.483980000019073
1266,HIMAL575,vb____,vb,34472.258320100001583,21357195.685400001704693
1267,HIMAL576,vb____,vb,18188.238671499999327,12571603.566199999302626
1268,HIMAL577,vb____,vb,16803.937007600001380,7718174.814290000125766
1269,HIMAL578,vb____,vb,42959.794282000002568,35637097.501500003039837
1270,HIMAL579,vb____,vb,20002.045378099999652,7682844.184009999968112
1271,HIMAL580,vb____,vb,22631.987345800000185,10356010.577400000765920
1272,HIMAL581,scpu__,sc,17387.503836500000034,6603437.856359999626875
1273,HIMAL582,vb____,vb,14419.718057300000510,4977173.568190000019968
1274,HIMAL583,scpu__,sc,14917.431305599999178,7139492.399640000425279
1275,HIMAL584,vb____,vb,30101.262238200000866,22761790.408900000154972
1276,HIMAL585,ssmxvr,ss,12927.935193100000106,10332670.533600000664592
1277,HIMAL586,ssmxvr,ss,11794.238299299999198,5304056.286319999955595
1278,HIMAL587,vb____,vb,8758.648304110000026,2941470.894150000065565
1279,HIMAL588,vb____,vb,6022.759061599999768,2354621.510290000122041
1280,HIMAL589,ssmxvr,ss,661650.416629999992438,1813068198.970000028610229
1281,HIMAL590,scpu__,sc,25687.826298799998767,27092727.981600001454353
1282,HIMAL591,vb____,vb,78074.714096299998346,71805712.479800000786781
1283,HIMAL592,pa____,pa,60543.225550000002841,41713865.347599998116493
1284,HIMAL593,ssmxmt,ss,57354.201277300002403,149390349.493999987840652
1285,HIMAL594,vb____,vb,23888.928304199998820,16977074.157400000840425
1286,HIMAL595,pa____,pa,56556.470541599999706,81705140.554000005125999
1287,HIMAL596,ssmxvr,ss,12348.845564600000216,4276821.646929999813437
1288,HIMAL597,vb____,vb,18580.118166299998848,19163236.437600001692772
1289,HIMAL598,mt____,mt,156703.249676000006730,836710173.511000037193298
1290,HIMAL602,scsh__,sc,202404.314520999992965,427897491.245999991893768
1291,HIMAL603,ssmxmt,ss,41463.693527800001903,35413547.338100001215935
1292,HIMAL604,smmxmt,sm,104761.621566000001621,118982058.197999998927116
1293,HIMAL605,mtpu__,mt,48522.866074300000037,104966671.008000001311302
1294,HIMAL606,pa____,pa,23965.704770600001211,18845998.301800001412630
1295,HIMAL607,mtpu__,mt,565201.441406000056304,2414243743.780000209808350
1296,HIMAL608,pa____,pa,44490.099061100001563,115101704.040999993681908
1297,HIMAL609,mtpu__,mt,80245.250537700005225,212432767.083999991416931
1298,HIMAL610,mtpu__,mt,48481.932210099999793,69110044.837999999523163
1299,HIMAL611,smmxmt,sm,45545.439420100003190,110597885.364999994635582
1300,HIMAL612,smmxmt,sm,648065.980004000011832,1409908237.009999990463257
1301,HIMAL620,mt__vr,mt,674263.587287000031210,1377237553.980000019073486
1302,HIMAL875,mt____,mt,1321823.907459999900311,10629301845.000000000000000
1303,HIMAL876,vb____,vb,20016.667328999999881,12731827.330099999904633
1304,HIMAL877,pa____,pa,40274.689984500000719,33243630.755499999970198
1305,HIMAL878,pa____,pa,17496.917895800001133,12089870.960300000384450
1306,HIMAL879,vb____,vb,34067.346550299997034,12763783.423599999397993
1307,HIMAL880,pa____,pa,9138.428333760000896,3606508.022750000003725
1308,HIMAL881,scpu__,sc,9233.584116750000248,5236449.046910000033677
1309,HIMAL882,scpu__,sc,20703.057577200001106,14097032.888800000771880
1310,HIMAL883,scpu__,sc,492692.429806999978609,1897007397.579999923706055
1311,HIMAL884,scpu__,sc,6871.759800089999771,1873203.193350000074133
1312,HIMAL885,vb____,vb,26457.011440900001617,24311239.057100001722574
1313,HIMAL886,vb____,vb,12657.781399699999383,6472610.922439999878407
1314,HIMAL887,vb____,vb,5696.154724590000114,2201382.674459999892861
1315,HIMAL888,scpu__,sc,10482.833220900000015,6328611.972219999879599
1316,HIMAL889,mt____,mt,20844.020638999998482,20675730.071100000292063
1317,HIMAL890,pa____,pa,18234.080666000001656,7103739.462089999578893
1318,HIMAL891,scpu__,sc,30897.554950400000962,39917798.733499996364117
1319,HIMAL892,mt____,mt,58316.812635700000101,130304566.966999992728233
1320,HIMAL893,mt____,mt,64686.512422500003595,53955145.307099997997284
